,Name,Street,City,Location,status,sic
306513,DOVE DRY CLEANERS LIMITED,"8 STATION BUILDINGS UXBRIDGE ROAD, EALING COMMON",LONDON,W53NU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
306876,DOWNHAM EXPRESS DRY CLEANERS LIMITED,"214 LOWER ADDISCOMBE ROAD, ",CROYDON,CR07AB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
309029,DRAWVALE LIMITED,"291 GREEN LANES, ",LONDON,N134XS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311026,DRY CITY 1 LTD,"12 SOUTHGATE ROAD, ",LONDON,N13LY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311027,DRY CLEANING & VALET SERVICES LIMITED,"16 BROMLEY ROAD, BECKENHAM",KENT,BR35JE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311028,DRY CLEANING 2 YOU LIMITED,"SOUTH STREET HOUSE, 51 SOUTH STREET",ISLEWORTH,TW77AA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311031,DRY CLEANING DIRECT LIMITED,"5/6 SCHOOL ROAD, ",LONDON,NW106TD,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311032,DRY CLEANING LIMITED,"28 GOOGE STREET, ",LONDON,W1T2QQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311033,DRY CLEANING ONLINE LIMITED,"519 A FINCHLEY ROAD, ",LONDON,NW37BB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311034,DRY CLEANING SOLUTIONS LTD,"TALBOT HOUSE, 204-226 IMPERIAL DRIVE",HARROW,HA27HH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311041,DRY ICE  CLEANERS LTD,"1 BROMLEY LANE, ",CHISLEHURST,BR76LH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311071,DRYCLEAN CO (HOXTON) LIMITED,"291 GREEN LANES, ",LONDON,N134XS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311072,DRYCLEAN WASH & GO LIMITED,"734 LORDSHIP LANE, ",LONDON,N225JP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311073,DRYCLEANCO (CHURCH STREET) LIMITED,"291 GREEN LANES, ",LONDON,N134XS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311074,DRYCLEANERS@BOROUGH LTD,"297 BOROUGH HIGH STREET, ",LONDON,SE11JG,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311101,DRYGO LIMITED,"5 TUNLEY GREEN, ",LONDON,E147ER,Active,96010 - Washing and (dry-)cleaning of textile and fur products
311120,DRYLINING SYSTEMS LTD,"190 BILLET ROAD, ",LONDON,E175DX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
312425,DUCANE DRY CLEANERS SHEEN LTD,"141 SHEEN LANE, ",LONDON,SW148LR,Active,96010 - Washing and (dry-)cleaning of textile and fur products
312426,DUCANE DRYCLEANERS LIMITED,"213 EVERSHOLT STREET, ",LONDON,NW11DE,Liquidation,96010 - Washing and (dry-)cleaning of textile and fur products
312428,DUCANE UK LTD,"SALISBURY HOUSE, LONDON WALL",LONDON,EC2M5QQ,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
312535,DUCT LIMITED,"FLAT1, 9 GROSVENOR GARDENS",LONDON,NW24QN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
312586,DUDLEY DRY CLEANERS (WIMBLEDON) LIMITED,"THE LONG LODGE 265-269 KINGSTON ROAD, WIMBLEDON",LONDON,SW193NW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
312587,DUDLEY DRY CLEANERS LIMITED,"THE LONG LODGE 265-269 KINGSTON ROAD, WIMBLEDON",LONDON,SW193NW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
313084,DULWICH DRY CLEANERS LIMITED,"311 RAILTON ROAD, ",LONDON,SE240JN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
315157,DYNAMIC DRY CLEANING AND LAUNDRETTE LTD,"369 UPPER RICHMOND ROAD, PUTNEY",LONDON,SW155QJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
315777,E & A DRY CLEANERS LTD,"216 HIGH ROAD, ",ROMFORD,RM66LS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
316099,E G DIRECT LIMITED,"C/O AL-MAHARI & CO, PEEL HOUSE, 34-44 LONDON ROAD",MORDEN,SM45BX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
316428,E WORLDWIDE LIMITED,"UNIT 4, HOLLES HOUSE, OVERTON ROAD",LONDON,SW97AP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
316690,E-CLEAN CONTRACT MANAGEMENT LIMITED,"INTERNATIONAL HOUSE 124 CROMWELL ROAD, SOUTH KENSINGTON",LONDON,SW74ET,Active,96010 - Washing and (dry-)cleaning of textile and fur products
317581,E1 DRY CLEANERS LIMITED,"23 WOODFORD AVENUE, GANTS HILL",ILFORD,IG26UF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
318123,EAGLE DRYCLEANERS LTD,"74 BLYTHE ROAD, ",LONDON,W140HB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
318904,EARLSFIELD LAUNDRY AND DRY CLEANING LTD,"675 GARRATT LANE, ",EARLSFIELD,SW170PB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
318936,EARLY BIRD DRY CLEANERS LTD,"139 PLUMSTEAD HIGH STREET, ",LONDON,SE181SE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
319562,EAST DULWICH DRY CLEANERS LIMITED,"74 LORDSHIP LANE, ESAT DULWICH",LONDON,SE228HF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
320842,EASY DRY CLEAN LTD,"HILLARY PRESS, 75 CHURCH ROAD",LONDON,NW44DP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
321344,EASYWASH LIMITED,"19 PARK GROVE, ",EDGWARE,HA87SH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
322797,ECHOCLASS LIMITED,"1 DOUGHTY STREET, LONDON",LONDON,WC1N2PH,Liquidation,9301 - Wash & dry clean textile & fur
322951,ECLEAN (LONDON) LIMITED,"MAYFAIR HOUSE, 14-18 HEDDON, STREET, MAYFAIR",LONDON,W1B4DA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
323290,ECO DRY CLEANING LTD,"30 BLACKTHORNE COURT, CATOR STREET",LONDON,SE156PD,Active,96010 - Washing and (dry-)cleaning of textile and fur products
325515,EDGWARE DRYCLEANERS LTD,"43 MANOR PARK CRESCENT, ",EDGWARE,HA87LY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
325544,EDGWARE ROAD DRY CLEANERS LIMITED,"35 CHAPEL STREET, 256 EDGWARE ROAD",LONDON,W21DJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
325559,EDGWAREBURY LAUNDERETTE LIMITED,"COOPERS HOUSE, 65A WINGLETYE LANE",HORNCHURCH,RM113AT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
325708,EDINBURGH PREMIER LAUNDRY LTD,"20-22 WENLOCK ROAD, ",LONDON,N17GU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
327894,EG GARMENTS LTD,"115 CRAVEN PARK ROAD, ",LONDON,N156BL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
329111,EJ DRY CLEANERS LIMITED,"7 GRANVILLE ROAD, ",LONDON,SW185SB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
330219,ELAUNDRY LTD,"160 CITY ROAD, ",LONDON,EC1V2NX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
331456,ELEGANCE CLEANING SERVICES LTD,"SOLAR HOUSE, 282 CHASE ROAD",SOUTHGATE,N146NZ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
331482,ELEGANCE OF EDGWARE LIMITED,"244 STATION ROAD, ",EDGWARE,HA87AU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
331591,ELEGANT UK DRYCLEANERS LIMITED,"25 BALHAM HIGH ROAD, BALHAM",LONDON,SW129AL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
331903,ELENA 84 LTD,"45 GWENDOLINE AVENUE, ",LONDON,E130RE,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
332420,ELFGREEN LIMITED,"PIMLICO LAUNDRETTE, 3 WESTMORELAND TERRACE",LONDON,SW1V4AG,Active,96010 - Washing and (dry-)cleaning of textile and fur products
332606,ELIAS CLEANERS LIMITED,"C/O WESTBURY 2ND FLOOR, 145-157 ST JOHN STREET",LONDON,EC1V4PY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
332613,ELIAS KOMI & CO LTD,"1 BLYTHE HOUSE, KENNINGTON PARK ROAD",LONDON,SE115TX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
333128,ELITE DCL LTD,"35 CHURCH ROAD, ",LONDON,NW44EB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
333349,ELITE LAUNDRY SERVICES LIMITED,"66 PRESCOT STREET, ",LONDON,E18NN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
334013,ELK (LONDON) LIMITED,"39 GREEN LANES, ",ILFORD,IG11XG,Active,96010 - Washing and (dry-)cleaning of textile and fur products
335075,ELMERS END DRYCLEANERS LTD,"505 LORDSHIP LANE, ",LONDON,SE228JY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
335230,ELMSTEAD DRY CLEANERS LIMITED,"2 WALDEN PARADE, WALDEN ROAD",CHISLEHURST,BR75DW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
336885,EMDAD CLEANING SERVICE LIMITED,"54A SETTLES STREET, ",LONDON,E11JP,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
337052,EMERALD CITY DRYCLEANERS LIMITED,"9 BICKELS YARD, 151 - 153 BERMONDSEY STREET",LONDON,SE13HA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
337109,EMERALD ICE LIMITED,"578 STREATHAM HIGH ROAD, ",LONDON,SW163QQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
338897,EMPIRE PROFESSIONAL LIMITED,"173 YORK WAY, ",LONDON,N79LN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
340365,ENDEVOUR LTD,"109 HIGH ROAD, ",LONDON,N28AG,Active,96010 - Washing and (dry-)cleaning of textile and fur products
342841,ENTERFIRST LIMITED,"4TH FLOOR 7/10 CHANDOS STREET, CAVENDISH SQUARE",LONDON,W1G9DQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
342909,ENTERPRISE DRY CLEANING LIMITED,"23 WOODFORD AVENUE, GANTS HILL",ILFORD,IG26UF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
348464,ESQ CLEANING SERVICES LTD,"42 HOWSON ROAD, ",BROCKLEY,SE42AS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
348485,ESQUIRE DRY CLEANERS (LONDON) LIMITED,"71 BRENT STREET, ","HENDON,",NW42DY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
348972,"ESSEX COUNTY LAUNDRY,LIMITED","WESTCOTT HOUSE, SELINAS LANE",DAGENHAM,RM81QH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
348989,ESSEX DRYCLEANERS LIMITED,"9 BICKELS YARD, 151-153 BERMONDSEY STREET",LONDON BRIDGE,SE13HA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
354483,EVAVEVA LTD,"112 CANN HALL ROAD, ",LONDON,E113NH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
355207,EVEREST LINEN SERVICES LIMITED,"1A PHILIP WALK, PECKHAM",LONDON,SE153NH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
355787,EVERYDAY BUSINESS SERVICES LIMITED,"364B GREEN STREET, ",LONDON,E139AP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
356674,EVREN LTD,"116A WEST GREEN ROAD, ",LONDON,N155AA,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
357575,EXCELLENCE TAILORING LTD,"23 VICARAGE GATE, CHURCH STREET",LONDON,W84AA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
357945,EXCLUSIVE CLEANERS LTD,"10 CRAWFORD PLACE, ",LONDON,W1H5NF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
357956,EXCLUSIVE DRYCLEANERS LIMITED,"UNIT 9 THE QUADRANT, STOCKWELL GREEN",LONDON,SW99JF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
357997,EXCLUSIVE LAUNDRY LTD,"10 CRAWFORD PLACE, ",LONDON,W1H5NF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
358217,EXECUTIVE CLASS DRYCLEANERS LIMITED,"90-92 THREE COLT STREET, ",LONDON,E148AP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
358252,EXECUTIVE DRY CLEANERS & ASIAN FASHION DESIGNERS LIMITED,"428 ALEXANDRA AVENUE, HARROW",MIDDLESEX,HA29TW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
358253,EXECUTIVE DRY CLEANERS 2 LIMITED,"SUITE 37/38 MARSHALL HOUSE, 124 MIDDLETON ROAD",MORDEN,SM46RW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
358325,EXECUTIVE PRESTIGE DRY CLEANERS LIMITED,"SUITE 37/38 MARSHALL HOUSE, 124 MIDDLETON ROAD",MORDEN,SM46RW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
358574,EXHIBIT DRY CLEANERS LIMITED,"10 CRAWFORD PLACE, ",LONDON,W1H5NF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
359288,EXPERT DRY CLEANERS LTD,"89 TACHBROOK STREET, ",LONDON,SW1V2QA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
359839,EXPRESS DRY CLEANERS BC LIMITED,"32 WOODSTOCK GROVE, SHEPHERDS BUSH",LONDON,W128LE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
359840,EXPRESS DRY CLEANERS LTD,"196 STAMFORD HILL, ",LONDON,N166RA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
359895,EXPRESS LAUNDERETTE LTD,"102 MERTON HIGH STREET, SOUTH WIMBLEDON",LONDON,SW191BD,Active,96010 - Washing and (dry-)cleaning of textile and fur products
359896,EXPRESS LAUNDRETTE LTD,"11 WOODHOUSE ROAD, ",LONDON,N129EN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
360040,EXPRESSIONS DRY CLEANERS LIMITED,"2 COBDEN MEWS, 90 THE BROADWAY",WIMBLEDON,SW191RH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
360302,EXTRA CARE SERVICE LIMITED,"OLYMPIC HOUSE, CEMENTS ROAD",ILFORD,IG11BA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
360486,EXTREME DRY CLEANERS LIMITED,"1ST FLOOR SCOTTISH PROVIDENT HOUSE, 76-80 COLLEGE ROAD",HARROW,HA11BQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
362281,F.W. LAUNDERETTES LIMITED,"73 CORNHILL, ",LONDON,EC3V3QQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
362456,FA DRY CLEANERS LTD,"FLAT 8 177-179, CLAPHAM MANOR STREET",LONDON,SW46DB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
363702,FAIR & SQUARE ENTERPRISES LTD,"DOSHI ACCOUNTANTS LTD 6TH FLOOR, AMP HOUSE, DINGWALL ROAD",CROYDON,CR02LX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
363943,FAIRCROSS DRY CLEANERS & LAUNDRETTE LTD,"12 SHEAVESHILL PARADE, SHEAVESHILL AVENUE",LONDON,NW96RS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
365821,FAMOZ LTD,"GROUND FLOOR, 148 FINCHLEY ROAD",LONDON,NW35HS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
366962,FARNHAM LAUNDRY LIMITED,"12 SHEAVESHILL PARADE, SHEAVESHILL AVENUE, ",LONDON,NW96RS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
367761,FAST DRY CLEANERS LTD,"59-60 THE MARKET SQUARE, ",LONDON,N90TZ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
367951,FAST STITCH LONDON LIMITED,"312 EARLS COURT ROAD, ",LONDON,SW59BQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
368072,FASTCARE LIMITED,"59-60 THE MARKET SQUARE, ",LONDON,N90TZ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
372163,FFIVESTAR LTD,"3 FOURTH WAY, WEMBLEY",LONDON,HA90LH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
372575,FIBRE CARE SERVICES LIMITED,"28 THE BROADWAY, ",HORNCHURCH,RM124RW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
375929,FINEST TOUCH LIMITED,"51 LENNARD ROAD, ",BROMLEY,BR28LN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
377559,FIRST AVENUE DRY CLEANNING LIMITED,"334 HIGH STREET, ",ORPINGTON,BR60NQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
377731,FIRST CHOICE DRYCLEANERS LIMITED,"29 NEW BROADWAY, ",HILLINGDON,UB100LL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
377863,FIRST CLEANER NEEDS LTD,"10 HILLCROFT CRESCENT, ",WEMBLEY,HA98EE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
378183,FIRST IMPRESSION DRY CLEANERS LTD,"241 CLAYHALL AVENUE, ",ILFORD,IG50NY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
378184,FIRST IMPRESSION DRY CLEANING LTD,"241 CLAYHALL AVENUE, ",ILFORD,IG50NY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
380468,FIVE STAR T/AS LAUNDRYWORKS LTD,"UNIT 3, FOURTH WAY",WEMBLEY,HA90LH,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
381626,FLASK WALK DRY CLEANERS LIMITED,"22 COTSWOLD HOUSE, STAMFORD HILL",LONDON,N166RU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
382051,FLEET DRYCLEANING & LAUNDRY LTD,"77 MILSON ROAD, WEST KENSINGTON",LONDON,W140LH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
382804,FLIMS CREATIONS LTD,"296 ELGIN AVENUE, ",LONDON,W91JS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
383324,FLOORMIDABLE LIMITED,"71-75 SHELTON STREET, ",LONDON,WC2H9JQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
384777,FM DRY CLEANERS LIMITED,"DOSHI ACCOUNTANTS LTD 6TH FLOOR, AMP HOUSE, DINGWALL ROAD",CROYDON,CR02LX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
386009,FONEY LIMITED,"89 UPPER CLAPTON ROAD, LONDON",LONDON,E59BU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
386060,FONTAINES DRY CLEANERS LTD,"393 ST JOHN STREET, ",LONDON,EC1V4LD,Active,96010 - Washing and (dry-)cleaning of textile and fur products
387688,FOREST OFFERS LTD,"205 CROMWELL ROAD, ",HOUNSLOW,TW33QW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
388438,FORMULA DRY CLEANING LIMITED,"601 HIGH ROAD LEYTONSTONE, ",LONDON,E114PA,Liquidation,96010 - Washing and (dry-)cleaning of textile and fur products
389266,FORTUNE LAUNDRY & DRY CLEANERS LTD,"11 FAIRHAZEL GARDENS, ",LONDON,NW63QE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
390491,FOUR SEASONS LONDON LTD,"12E MANOR ROAD, ",LONDON,N165SA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
392155,FRANCIS ALLEN LIMITED,"ACORN HOUSE, 33 CHURCHFIELD ROAD",LONDON,W36AY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
394302,FRENCH DRY CLEANERS LIMITED,"214 ADDINGTON ROAD, ",SOUTH CROYDON,CR28LD,Active,96010 - Washing and (dry-)cleaning of textile and fur products
394544,FRESH 'N' CLEAN (WALES) LIMITED,"GRIFFINS, TAVISTOCK HOUSE SOUTH",TAVISTOCK SQUARE,WC1H9LG,Liquidation,9301 - Wash & dry clean textile & fur
394612,FRESH CLEAN CARPETS LIMITED,"1339 HIGH ROAD, ",LONDON,N209HR,Active,96010 - Washing and (dry-)cleaning of textile and fur products
394719,FRESH KIT LONDON LIMITED,"KEMP HOUSE, 160 CITY ROAD",LONDON,EC1V2NX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
394859,FRESH UP LAUNDRY LTD,"166 VIVIAN AVENUE, ",WEMBLEY,HA96RR,Active,96010 - Washing and (dry-)cleaning of textile and fur products
395004,FRESHNESS LTD,"5 FRESHWATER ROAD, ",DAGENHAM,RM81SP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
395093,FRESHWEAR SERVICES LIMITED,"71 NUXLEY ROAD, ",BELVEDERE,DA175JN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
395481,FRIENDS OF FABRIC LIMITED,"97 JUDD STREET, LONDON",LONDON,WC1H9JG,Active,96010 - Washing and (dry-)cleaning of textile and fur products
396109,FRONT LINE LONDON LIMITED,"299A BETHNAL GREEN ROAD, ",LONDON,E26AH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
396854,FS & ARS DRY CLEANERS LTD,"71 DENMARK HILL, ",LONDON,SE58RS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
397779,FULHAM LAUNDRY LIMITED,"113 FULHAM PALACE ROAD, HAMMERSMITH",LONDON,W68JA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
402189,G&Z LONDON LIMITED,"67 CHATSWORTH ROAD, ",LONDON,E50LH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
403817,GADWELL LIMITED,"80 THE CUT, ",LONDON,SE18LW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
406586,GARMENT PROCESSING LIMITED,"UNIT 3 NOBEL ROAD, EDMONTON",LONDON,N183BH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
406902,GARVARY TRADING LIMITED,"12 BOLTON STREET, MAYFAIR",LONDON,W1J8BD,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
408044,GAVINLYNN LIMITED,"43 RIDGEMOUNT, ",SHIRLEY,CR08TR,Active,96010 - Washing and (dry-)cleaning of textile and fur products
409364,GD CLEANERS LIMITED,"GRD FLR, 209 ASHMORE ROAD",LONDON,W93DB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
410133,GEES DRY LTD,"724 BATH ROAD, ",HOUNSLOW,TW59TW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
410882,GEMS DRYCLEANING CO LTD,"FLAT 501, 2 CHANCELLOR WAY",DAGENHAM,RM82GP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
413357,GEORGOVSKI LTD,"8 JULIANA CLOSE, ",LONDON,N20TJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
415838,GIDEA PARK DRY CLEANERS LIMITED,"10 WESTERN ROAD, ",ROMFORD,RM13JT,Active,96010 - Washing and (dry-)cleaning of textile and fur products
416202,GIGI 2017 LTD,"31 CRANBOURNE AVENUE, ",LONDON,E112BH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
417503,GIRNAR LIMITED,"2 RUSKIN PARADE, SELSDON ROAD",SOUTH CROYDON,CR26PW,Active,96010 - Washing and (dry-)cleaning of textile and fur products
417961,GJS VALETING LTD,"134 A HIGH STREET, WEALDSTONE",HARROW,HA37AL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
419316,GLEESONS DRYCLEANERS LIMITED,"1ST FLOOR, COMMERCE HOUSE, 1 RAVEN ROAD",SOUTH WOODFORD,E181HB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
422285,GLOBAL PROJECTS MANAGEMENT (UK) LIMITED,"THE MAPLES BARNET ROAD, ARKLEY",HERTFORDSHIRE,EN53HB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
424211,GLOUCESTER ROAD DRY CLEANERS LIMITED,"UNIT 5 GLOUCESTER ROAD UNDERGROUND STATION, GLOUCESTER ROAD",LONDON,SW74SF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
425500,GO CLEAN 129 LIMITED,"167 UXBRIDGE ROAD, ",LONDON,W73TH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
425640,GO GREEN ECO CLEANERS LIMITED,"151 LYHAM ROAD, LYHAM ROAD",LONDON,SW25PY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
426634,GOHIL DRYCLEANERS LIMITED,"VYMAN HOUSE, (2ND FLOOR), 104 COLLEGE ROAD",HARROW,HA11BQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
426960,GOLD DRY CLEANERS LIMITED,"18 BLOOMSBURY STREET, ",LONDON,WC1B3QA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
427276,GOLD'S DRY CLEANER LIMITED,"25 MALVERN ROAD, ",LONDON,NW65PS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
427733,GOLDEN DRY CLEANERS LTD,"DOSHI ACCOUNTANTS LTD 6TH FLOOR, AMP HOUSE, DINGWALL ROAD",CROYDON,CR02LX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
429233,GOLDSTAR DRY CLEANERS (UK) LIMITED,"330 BURDETT ROAD, ",LONDON,E147DL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
429858,GOOD CAR WASH LTD,"727 HIGH ROAD LEYTON, ",LONDON,E105AB,Active,96010 - Washing and (dry-)cleaning of textile and fur products
430691,GOODWILL LAUNDRETTE LTD,"20-22 WENLOCK ROAD, ",LONDON,N17GU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
430701,GOODWILL VENTURES LTD,"2 MARKET PLACE, BERMONDSEY",LONDON,SE163UQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
430865,GOOTC LIMITED,"79A DEODAR ROAD, ",LONDON,SW152NU,Active,96010 - Washing and (dry-)cleaning of textile and fur products
436659,GREAT WEST HAND CAR WASH LIMITED,"1 GREAT WEST  ROAD, ",LONDON,TW59AN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
437422,GREEN DRYCLEANERS LTD,"77 MILSON ROAD, WEST KENSINGTON",LONDON,W140LH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
437781,GREEN LAUNDRY LTD,"521 GREEN LANES, ",LONDON,N41AN,Active,96010 - Washing and (dry-)cleaning of textile and fur products
438818,GREENFIELD DRY CLEANERS LTD,"4 WESTBURY PARADE, ",LONDON,SW129DZ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
438918,GREENFORD LAUNDRETTE LTD,"MORRITT HOUSE, 54-60 STATION APPROACH, SOUTH RUISLIP",RUISLIP,HA46SA,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
439488,GREENSLEEVES DRY CLEANERS LTD,"6, GREENSLEEVES QUALITY DRY CLEANERS COCKFOSTERS ROAD, STATION PARADE",BARNET,EN40DL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
439828,GREENWICH LAUNDRY CO LTD,"37 PRESTON DRIVE, ",BOXLEYHEATH,DA74UF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
441643,GRONROOS LIMITED,"DOSHI ACCOUNTANTS LTD 6TH FLOOR, AMP HOUSE, DINGWALL ROAD",CROYDON,CR02LX,Active,96010 - Washing and (dry-)cleaning of textile and fur products
