,Name,Street,City,Location,status,sic
43312,ACTONTEX LIMITED,"505 LORDSHIP LANE, DULWICH",LONDON,SE228JY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
44850,ADASTRA OPERATING LIMITED,"113 CHALLENGE HOUSE, 616 MITCHAM ROAD",CROYDON,CR03AA,Active,96010 - Washing and (dry-)cleaning of textile and fur products
45163,ADDINGTON DRY CLEANERS LIMITED,"THE FOLD, 114 STATION ROAD",SIDCUP,DA157AE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
48995,ADYAN LINEN HIRE LIMITED,"20 YARDLEY COURT HEMINGFORD ROAD, CHEAM",SUTTON,SM38HL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
49814,AEROSERVE EURO LIMITED,"220 THE VALE, ",LONDON,NW118SR,Active,96010 - Washing and (dry-)cleaning of textile and fur products
51657,AFS DRY CLEANING LIMITED,"THE HOWARTH ARMSBY SUITE NEW BROAD STREET HOUSE, 35 NEW BROAD STREET",LONDON,EC2M1NH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
51668,AFS LAUNDRY LIMITED,"THE HOWARTH ARMSBY SUITE NEW BROAAD STREET HOUSE, 35 NEW BROAD STREET",LONDON,EC2M1NH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
54426,AHMED UK SERVICES LTD,"76 CENTRAL PARK ROAD, ",LONDON,E63DY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
56010,AIRLINEN LTD,"HILLARY PRESS, 75 CHURCH ROAD, CHURCH ROAD",LONDON,NW44DP,Active,96010 - Washing and (dry-)cleaning of textile and fur products
58751,AKSHAR DRYCLEANERS LIMITED,"176 FRANCISCAN ROAD, TOOTING",LONDON,SW178HH,Active,96010 - Washing and (dry-)cleaning of textile and fur products
59361,AL SADDY BUSINESS SERVICES LTD,"6 PIER PARADE, ",LONDON,E162LJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
59772,ALADDIN CLEANING SERVICES LIMITED,"14 PELDON WALK POPHAM STREET, ISLINGTON",LONDON,N18QS,Active,96010 - Washing and (dry-)cleaning of textile and fur products
59988,ALAN DRY CLEANERS LIMITED,"THE FOLD, 114 STATION ROAD",SIDCUP,DA157AE,Active,96010 - Washing and (dry-)cleaning of textile and fur products
60104,ALAN TRADING LTD,"78 CLAPHAM HIGH STREET, ",LONDON,SW47UL,Active,96010 - Washing and (dry-)cleaning of textile and fur products
60700,ALBENA & DIMITAR LTD,"60 BUSHGROVE ROAD, ",DAGENHAM,RM83SJ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
62525,ALEX DRYCLEANING LIMITED,"ALEX DRYCLEANING LTD, KEW ROAD",RICHMOND,TW92PQ,Active,96010 - Washing and (dry-)cleaning of textile and fur products
63870,ALGHADEER LTD,"137 CRICKLEWOOD BROADWAY, ",LONDON,NW23HY,Active,96010 - Washing and (dry-)cleaning of textile and fur products
64834,ALISKA 80 LTD,"53 WHITEHEAD CLOSE, ",LONDON,N181UY,Active - Proposal to Strike off,96010 - Washing and (dry-)cleaning of textile and fur products
65164,ALKAZ LTD,"FOFRAME HOUSE, 35 - 37 BRENT STREET",LONDON,NW42EF,Active,96010 - Washing and (dry-)cleaning of textile and fur products
