,name,address_1,address_2,post_town,postcode,sic_code_1,lat,long,borough
36,MIDNIGHT DELIVERY SM LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
37,MIDNIGHT DELIVERY SR LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
38,MOTION FOODS LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
39,NAJAT HOLDINGS LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
40,NOIR ESPRESSO LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
41,NOMAD BITES LTD,71-75 SHELTON STREET,,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
42,NOOR FOODSERVICE LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
43,OLIVE FOOD LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
44,PIDE LONDON LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
45,PUDZ DESSERTS LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
46,RUMI RESTAURANT LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
47,STEAMIN' MUGS LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
48,TASHREEB LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
49,TASTY BITES SX LTD,71-75 SHELTON STREET,,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
50,THE COFFEE HOUSE GROUP LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
51,THE LONDON DESSERTS COMPANY LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
52,THE SWEET LOUNGE LTD,71-75 SHELTON STREET,,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
53,THE VEGAN JUNK FOOD CO LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
54,VENECIA LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
55,YALLA HUB LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,51.514897,-0.123615,Camden
56,WILD FOOD CAFE UN LTD,"14, 1ST FLOOR",NEAL'S YARD,LONDON,WC2H9DP,56102 - Unlicensed restaurants and cafes,51.514561,-0.126364,Camden
57,CASUAL DAYS LTD,61 ENDELL STREET,,LONDON,WC2H9AJ,56102 - Unlicensed restaurants and cafes,51.515018,-0.125711,Camden
58,SCOOP FINE ITALIAN GELATO LIMITED,40 SHORT GARDENS,,LONDON,WC2H9AB,56102 - Unlicensed restaurants and cafes,51.514561,-0.125197,Camden
59,THOSE COFFEE SHOPS LTD,SOVEREIGN HOUSE,212-224 SHAFTESBURY AVENUE,LONDON,WC2H8HQ,56102 - Unlicensed restaurants and cafes,51.516302,-0.126105,Camden
60,JCCT LONDON LTD,4-8 NEWPORT PLACE,,LONDON,WC2H7JP,56102 - Unlicensed restaurants and cafes,51.51185,-0.129332,Westminster
61,KARL MARX CAFE LIMITED,9 GREAT NEWPORT STREET,,LONDON,WC2H7JA,56102 - Unlicensed restaurants and cafes,51.512112,-0.127751,Westminster
62,CHIPNATION LTD,10 ORANGE STREET,HAYMARKET,LONDON,WC2H7DQ,56102 - Unlicensed restaurants and cafes,51.50908,-0.131128,Westminster
63,IRV-CATER LIMITED,16 IRVING STREET,,LONDON,WC2H7AU,56102 - Unlicensed restaurants and cafes,51.509775,-0.12906800000000002,Westminster
64,LIFESTYLE-ORGANIC LTD,44 BEDFORD STREET,,LONDON,WC2E9HA,56102 - Unlicensed restaurants and cafes,51.51016,-0.123724,Westminster
65,MYLK TRAIN LIMITED,44 BEDFORD STREET,,LONDON,WC2E9HA,56102 - Unlicensed restaurants and cafes,51.51016,-0.123724,Westminster
66,APPLE BUTTER LIMITED,7 HENRIETTA STREET,C/O REDFERN LEGAL LLP,LONDON,WC2E8PS,56102 - Unlicensed restaurants and cafes,51.511072999999996,-0.123063,Westminster
67,THE GYM CAFE LIMITED,30 THE PIAZZA,JUBILEE HALL TRUST THE PIAZZA COVENT GARDEN,LONDON,WC2E8BE,56102 - Unlicensed restaurants and cafes,51.512060999999996,-0.122965,Westminster
68,GOLDEN BOWL CHINESE FOOD LIMITED,C/O CHAN & CO,88 KINGSWAY,LONDON,WC2B6AA,56102 - Unlicensed restaurants and cafes,51.517236,-0.11984000000000002,Camden
69,ECCO BELLO LIMITED,186 DRURY LANE,,LONDON,WC2B5QD,56102 - Unlicensed restaurants and cafes,51.516123,-0.123922,Camden
70,BUBBLE N SQUEAK CAFE LTD,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,51.515137,-0.121901,Camden
71,COFFEE & JAM (SLOANE SQUARE) LTD,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,51.515137,-0.121901,Camden
72,FOUR MOON LIMITED,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,51.515137,-0.121901,Camden
73,MMF CATERING LTD,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,51.515137,-0.121901,Camden
74,MOONSTARS CATERING LIMITED,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,51.515137,-0.121901,Camden
75,RAIFE'S LTD,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,51.515137,-0.121901,Camden
76,SEVENSEAS HOSPITALITY SOLUTIONS LTD,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,51.515137,-0.121901,Camden
77,THE NEW BRIDGE CAFE LIMITED,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,51.515137,-0.121901,Camden
78,MELLOWER COFFEE LONDON LIMITED,22 CHANCERY LANE,,LONDON,WC2A1LS,56102 - Unlicensed restaurants and cafes,51.515483,-0.111481,City of London
79,FEARLESS HAWKS LTD,144 - 146 KINGS CROSS ROAD,KING'S CROSS ROAD,LONDON,WC1X9DU,56102 - Unlicensed restaurants and cafes,51.530448,-0.117177,Islington
80,181 KINGS CROSS LIMITED,181 KING'S CROSS ROAD,,LONDON,WC1X9BZ,56102 - Unlicensed restaurants and cafes,51.53045,-0.11844500000000001,Camden
81,TFC FOODS LTD,181 KING'S CROSS ROAD,,LONDON,WC1X9BZ,56102 - Unlicensed restaurants and cafes,51.53045,-0.11844500000000001,Camden
82,NIVEN'S LIMITED,157 KING'S CROSS ROAD,,LONDON,WC1X9BN,56102 - Unlicensed restaurants and cafes,51.529958,-0.11690899999999999,Camden
83,17 FOOD LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,51.523373,-0.11509000000000001,Camden
84,BANNA LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,51.523373,-0.11509000000000001,Camden
85,EMROCK LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,51.523373,-0.11509000000000001,Camden
86,FOODS DESIGN LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,51.523373,-0.11509000000000001,Camden
87,GEM OF KENT LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,51.523373,-0.11509000000000001,Camden
88,GEMSTAR UK LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,51.523373,-0.11509000000000001,Camden
89,LACE (LONDON) LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,51.523373,-0.11509000000000001,Camden
90,LADY DELANEY'S LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,51.523373,-0.11509000000000001,Camden
91,PLEVNA LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,51.523373,-0.11509000000000001,Camden
92,TNY LTD,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,51.523373,-0.11509000000000001,Camden
93,MEZO LIMITED,33 THEOBALDS ROAD,,HOLBORN,WC1X8SP,56102 - Unlicensed restaurants and cafes,51.520043,-0.118283,Camden
94,HAPPY DAYS RESTAURANTS LIMITED,247 GRAYS INN ROAD,LONDON,,WC1X8QZ,56102 - Unlicensed restaurants and cafes,51.528546999999996,-0.11976400000000001,Camden
95,YA2 LIMITED,"247, GRAY'S INN ROAD",,LONDON,WC1X8QZ,56102 - Unlicensed restaurants and cafes,51.528546999999996,-0.11976400000000001,Camden
96,CLASS CHICKEN LTD,315 GRAY'S INN ROAD,,LONDON,WC1X8PX,56102 - Unlicensed restaurants and cafes,51.530348,-0.121593,Camden
